Answer.3,Input.var_arrays
4,"[{""wl"": [""памятник"", ""игра"", ""культура"", ""игры"", ""э"", ""список""], ""id"": 3, ""wl_id"": ""33""}]"
5,"[{""wl"": [""горный"", ""годы"", ""средняя"", ""глубина"", ""месторождение"", ""м""], ""id"": 3, ""wl_id"": ""34""}]"
0,"[{""wl"": [""чтобы"", ""символ"", ""биологии"", ""училище"", ""из-за"", ""увеличения""], ""id"": 3, ""wl_id"": ""35""}]"
4,"[{""wl"": [""годы"", ""последние"", ""данная"", ""существования"", ""первые"", ""жизни""], ""id"": 3, ""wl_id"": ""36""}]"
0,"[{""wl"": [""процесс"", ""или"", ""от"", ""и"", ""род"", ""при""], ""id"": 3, ""wl_id"": ""37""}]"
4,"[{""wl"": [""буква"", ""происходить"", ""означать"", ""перевод"", ""высота"", ""слово""], ""id"": 3, ""wl_id"": ""38""}]"
1,"[{""wl"": [""списка"", ""олимпийского"", ""руки"", ""века"", ""учёные"", ""яйца""], ""id"": 3, ""wl_id"": ""39""}]"
3,"[{""wl"": [""почва"", ""уэльс"", ""землевладелец"", ""чиновник"", ""боливия"", ""придворный""], ""id"": 3, ""wl_id"": ""40""}]"
0,"[{""wl"": [""и"", ""родиться"", ""биография"", ""учиться"", ""род"", ""вес""], ""id"": 3, ""wl_id"": ""41""}]"
1,"[{""wl"": [""развития"", ""средняя"", ""целью"", ""организация"", ""общества"", ""организации""], ""id"": 3, ""wl_id"": ""42""}]"
4,"[{""wl"": [""организации"", ""группа"", ""кристаллы"", ""свойства"", ""нм"", ""образует""], ""id"": 3, ""wl_id"": ""43""}]"
0,"[{""wl"": [""февраль"", ""партия"", ""народный"", ""деятель"", ""президент"", ""член""], ""id"": 3, ""wl_id"": ""44""}]"
5,"[{""wl"": [""основа"", ""специальный"", ""быть"", ""принять"", ""государственный"", ""под""], ""id"": 3, ""wl_id"": ""45""}]"
1,"[{""wl"": [""архитектор"", ""символ"", ""расположение"", ""строительство"", ""построен"", ""комплекс""], ""id"": 3, ""wl_id"": ""46""}]"
3,"[{""wl"": [""полк"", ""соединение"", ""армии"", ""участие"", ""власти"", ""сил""], ""id"": 3, ""wl_id"": ""47""}]"
4,"[{""wl"": [""женщина"", ""мужской"", ""победитель"", ""пол"", ""река"", ""женский""], ""id"": 3, ""wl_id"": ""48""}]"
2,"[{""wl"": [""новых"", ""племя"", ""александра"", ""люди"", ""влияние"", ""народа""], ""id"": 3, ""wl_id"": ""49""}]"
4,"[{""wl"": [""род"", ""из"", ""польский"", ""xix"", ""искусств"", ""веке""], ""id"": 3, ""wl_id"": ""50""}]"
2,"[{""wl"": [""род"", ""вид"", ""и"", ""семейство"", ""из"", ""известный""], ""id"": 3, ""wl_id"": ""51""}]"
1,"[{""wl"": [""владелец"", ""крестьянин"", ""частный"", ""участок"", ""предприниматель"", ""лучший""], ""id"": 3, ""wl_id"": ""52""}]"
2,"[{""wl"": [""карелия"", ""основать"", ""озеро"", ""сведение"", ""de"", ""общий""], ""id"": 3, ""wl_id"": ""53""}]"
2,"[{""wl"": [""чтобы"", ""перед"", ""астраханский"", ""внимание"", ""открытие"", ""замок""], ""id"": 3, ""wl_id"": ""54""}]"
2,"[{""wl"": [""широкую"", ""лес"", ""текста"", ""среде"", ""окружающей"", ""«за""], ""id"": 3, ""wl_id"": ""55""}]"
1,"[{""wl"": [""деревня"", ""ф"", ""народный"", ""упоминаться"", ""карта"", ""ленинградский""], ""id"": 3, ""wl_id"": ""56""}]"
1,"[{""wl"": [""они"", ""ли"", ""класс"", ""были"", ""риме"", ""веках""], ""id"": 3, ""wl_id"": ""57""}]"
3,"[{""wl"": [""родиться"", ""советский"", ""год"", ""война"", ""тема"", ""биография""], ""id"": 3, ""wl_id"": ""58""}]"
5,"[{""wl"": [""участница"", ""редактор"", ""задача"", ""дальний"", ""ход"", ""финляндия""], ""id"": 3, ""wl_id"": ""59""}]"
4,"[{""wl"": [""уровень"", ""высота"", ""метр"", ""глубина"", ""месторождение"", ""море""], ""id"": 3, ""wl_id"": ""60""}]"
1,"[{""wl"": [""действие"", ""более"", ""чем"", ""общественный"", ""средство"", ""обладать""], ""id"": 3, ""wl_id"": ""61""}]"
5,"[{""wl"": [""вес"", ""совершил"", ""федерального"", ""международном"", ""представляла"", ""сан-франциско""], ""id"": 3, ""wl_id"": ""62""}]"
1,"[{""wl"": [""между"", ""воды"", ""отношения"", ""америки"", ""и"", ""двумя""], ""id"": 3, ""wl_id"": ""63""}]"
1,"[{""wl"": [""равный"", ""и"", ""компания"", ""предприятие"", ""основать"", ""общество""], ""id"": 3, ""wl_id"": ""64""}]"
3,"[{""wl"": [""поселение"", ""сельский"", ""центр"", ""происходить"", ""район"", ""область""], ""id"": 3, ""wl_id"": ""65""}]"
3,"[{""wl"": [""эпизод"", ""начаться"", ""сообщение"", ""гэс"", ""сезон"", ""строительство""], ""id"": 3, ""wl_id"": ""66""}]"
0,"[{""wl"": [""полное"", ""предприятие"", ""мира"", ""компания"", ""институт"", ""производства""], ""id"": 3, ""wl_id"": ""67""}]"
3,"[{""wl"": [""альбом"", ""песня"", ""памятник"", ""и"", ""год"", ""группа""], ""id"": 3, ""wl_id"": ""68""}]"
0,"[{""wl"": [""т"", ""монастырь"", ""церкви"", ""епископ"", ""русской"", ""церковь""], ""id"": 3, ""wl_id"": ""69""}]"
4,"[{""wl"": [""современный"", ""источник"", ""направление"", ""сила"", ""высокий"", ""свет""], ""id"": 3, ""wl_id"": ""70""}]"
0,"[{""wl"": [""мартин"", ""связи"", ""средств"", ""обеспечения"", ""президента"", ""деятельности""], ""id"": 3, ""wl_id"": ""71""}]"
0,"[{""wl"": [""харьковский"", ""соответственно"", ""бой"", ""чемпионка"", ""равный"", ""вес""], ""id"": 3, ""wl_id"": ""72""}]"
5,"[{""wl"": [""немецкий"", ""мировой"", ""война"", ""команда"", ""второй"", ""станция""], ""id"": 3, ""wl_id"": ""73""}]"
4,"[{""wl"": [""прочий"", ""попасть"", ""разделение"", ""ночной"", ""чувашский"", ""компания""], ""id"": 3, ""wl_id"": ""74""}]"
4,"[{""wl"": [""включён"", ""ниже"", ""правления"", ""вместо"", ""японского"", ""различные""], ""id"": 3, ""wl_id"": ""75""}]"
0,"[{""wl"": [""военный"", ""политик"", ""деятель"", ""государственный"", ""председатель"", ""деятельности""], ""id"": 3, ""wl_id"": ""76""}]"
0,"[{""wl"": [""китай"", ""валентин"", ""средневековый"", ""техника"", ""преобразование"", ""георгиевич""], ""id"": 3, ""wl_id"": ""77""}]"
5,"[{""wl"": [""являются"", ""знак"", ""основными"", ""деревни"", ""зданий"", ""польских""], ""id"": 3, ""wl_id"": ""78""}]"
4,"[{""wl"": [""станция"", ""станции"", ""на"", ""улица"", ""с"", ""линии""], ""id"": 3, ""wl_id"": ""79""}]"
5,"[{""wl"": [""дворянский"", ""род"", ""женщина"", ""конец"", ""век"", ""польский""], ""id"": 3, ""wl_id"": ""80""}]"
0,"[{""wl"": [""или"", ""деревни"", ""поселения"", ""сельского"", ""района"", ""деревня""], ""id"": 3, ""wl_id"": ""81""}]"
4,"[{""wl"": [""транспортный"", ""шведский"", ""событие"", ""автомобиль"", ""погост"", ""новгородский""], ""id"": 3, ""wl_id"": ""82""}]"
5,"[{""wl"": [""живописи"", ""эпохи"", ""искусств"", ""художник"", ""италии"", ""испанский""], ""id"": 3, ""wl_id"": ""83""}]"
2,"[{""wl"": [""культуры"", ""школы"", ""альбом"", ""имени"", ""школа"", ""окончания""], ""id"": 3, ""wl_id"": ""84""}]"
1,"[{""wl"": [""ни"", ""друг"", ""пора"", ""конечный"", ""живёт"", ""посёлке""], ""id"": 3, ""wl_id"": ""85""}]"
2,"[{""wl"": [""книга"", ""из"", ""великобритания"", ""и"", ""автор"", ""один""], ""id"": 3, ""wl_id"": ""86""}]"
2,"[{""wl"": [""новосибирский"", ""университет"", ""астероид"", ""школа"", ""высший"", ""образование""], ""id"": 3, ""wl_id"": ""87""}]"
0,"[{""wl"": [""американский"", ""живой"", ""узел"", ""способный"", ""появляться"", ""природа""], ""id"": 3, ""wl_id"": ""88""}]"
0,"[{""wl"": [""метров"", ""доктор"", ""медицинских"", ""врач"", ""здравоохранения"", ""медицины""], ""id"": 3, ""wl_id"": ""89""}]"
0,"[{""wl"": [""образование"", ""поселения"", ""сельсовет"", ""сельское"", ""поселение"", ""земле""], ""id"": 3, ""wl_id"": ""90""}]"
2,"[{""wl"": [""транспортный"", ""военный"", ""фон"", ""полный"", ""служба"", ""орден""], ""id"": 3, ""wl_id"": ""91""}]"
2,"[{""wl"": [""быть"", ""его"", ""язык"", ""он"", ""из"", ""сын""], ""id"": 3, ""wl_id"": ""92""}]"
5,"[{""wl"": [""владелец"", ""и"", ""система"", ""для"", ""с"", ""игра""], ""id"": 3, ""wl_id"": ""93""}]"
4,"[{""wl"": [""не"", ""практически"", ""даже"", ""попытка"", ""древний"", ""особый""], ""id"": 3, ""wl_id"": ""94""}]"
5,"[{""wl"": [""выходить"", ""передача"", ""сообщение"", ""канал"", ""связь"", ""британский""], ""id"": 3, ""wl_id"": ""95""}]"
1,"[{""wl"": [""веках"", ""женщина"", ""быстро"", ""среднюю"", ""контроля"", ""никогда""], ""id"": 3, ""wl_id"": ""96""}]"
2,"[{""wl"": [""грузия"", ""георгий"", ""как"", ""грузинский"", ""живёт"", ""давид""], ""id"": 3, ""wl_id"": ""97""}]"
4,"[{""wl"": [""предполагаться"", ""редакция"", ""индивидуальный"", ""описывать"", ""деньги"", ""ко""], ""id"": 3, ""wl_id"": ""98""}]"
5,"[{""wl"": [""ранний"", ""княжество"", ""тема"", ""речь"", ""великий"", ""литовский""], ""id"": 3, ""wl_id"": ""99""}]"
2,"[{""wl"": [""во"", ""время"", ""руки"", ""первой"", ""был"", ""войны""], ""id"": 3, ""wl_id"": ""100""}]"
2,"[{""wl"": [""относительно"", ""низкий"", ""несмотреть"", ""предприятие"", ""владение"", ""выхой""], ""id"": 3, ""wl_id"": ""101""}]"
1,"[{""wl"": [""с"", ""персонаж"", ""воде"", ""и"", ""при"", ""или""], ""id"": 3, ""wl_id"": ""102""}]"
1,"[{""wl"": [""сср"", ""поверхности"", ""ссср"", ""года"", ""род"", ""родилась""], ""id"": 3, ""wl_id"": ""103""}]"
4,"[{""wl"": [""года"", ""дня"", ""общий"", ""со"", ""финского"", ""популярность""], ""id"": 3, ""wl_id"": ""104""}]"
2,"[{""wl"": [""воинов"", ""успехов"", ""узбекистана"", ""семейства"", ""лесных"", ""установлен""], ""id"": 3, ""wl_id"": ""105""}]"
1,"[{""wl"": [""рабочей"", ""норвежский"", ""композиции"", ""отряд"", ""русских"", ""советский""], ""id"": 3, ""wl_id"": ""106""}]"
1,"[{""wl"": [""британский"", ""джон"", ""режим"", ""великобритания"", ""лауреат"", ""премия""], ""id"": 3, ""wl_id"": ""107""}]"
5,"[{""wl"": [""гора"", ""парк"", ""на"", ""национальный"", ""горный"", ""биография""], ""id"": 3, ""wl_id"": ""108""}]"
5,"[{""wl"": [""российский"", ""кристаллы"", ""наук"", ""советский"", ""профессор"", ""окончил""], ""id"": 3, ""wl_id"": ""109""}]"
5,"[{""wl"": [""проживают"", ""включён"", ""состояния"", ""то"", ""демография"", ""вода""], ""id"": 3, ""wl_id"": ""110""}]"
4,"[{""wl"": [""картина"", ""владелец"", ""неорганический"", ""свойство"", ""ван"", ""художник""], ""id"": 3, ""wl_id"": ""111""}]"
5,"[{""wl"": [""мира"", ""за"", ""чем"", ""карьера"", ""года"", ""футболист""], ""id"": 3, ""wl_id"": ""112""}]"
1,"[{""wl"": [""км²"", ""медицинских"", ""площадь"", ""озеро"", ""парк"", ""озера""], ""id"": 3, ""wl_id"": ""113""}]"
0,"[{""wl"": [""хабаровский"", ""болото"", ""означать"", ""математик"", ""искусственный"", ""создатель""], ""id"": 3, ""wl_id"": ""114""}]"
0,"[{""wl"": [""советский"", ""разновидность"", ""виде"", ""поверхности"", ""воды"", ""материалов""], ""id"": 3, ""wl_id"": ""115""}]"
1,"[{""wl"": [""герой"", ""верхней"", ""года"", ""биография"", ""родился"", ""советский""], ""id"": 3, ""wl_id"": ""116""}]"
1,"[{""wl"": [""родился"", ""писатель"", ""де"", ""средняя"", ""биография"", ""семье""], ""id"": 3, ""wl_id"": ""117""}]"
4,"[{""wl"": [""сооружения"", ""семьи"", ""отдельные"", ""регионах"", ""верхней"", ""длинные""], ""id"": 3, ""wl_id"": ""118""}]"
5,"[{""wl"": [""училища"", ""общий"", ""описывает"", ""выпускник"", ""список"", ""автомобилей""], ""id"": 3, ""wl_id"": ""119""}]"
5,"[{""wl"": [""в"", ""входит"", ""составе"", ""муниципалитет"", ""население"", ""описывает""], ""id"": 3, ""wl_id"": ""120""}]"
1,"[{""wl"": [""цель"", ""метр"", ""научный"", ""работа"", ""международный"", ""организация""], ""id"": 3, ""wl_id"": ""121""}]"
3,"[{""wl"": [""культура"", ""шести"", ""философия"", ""сербский"", ""возраст"", ""дитя""], ""id"": 3, ""wl_id"": ""122""}]"
1,"[{""wl"": [""ними"", ""диаметром"", ""военное"", ""перед"", ""появление"", ""задача""], ""id"": 3, ""wl_id"": ""123""}]"
0,"[{""wl"": [""футболист"", ""карьера"", ""который"", ""год"", ""клуб"", ""выступать""], ""id"": 3, ""wl_id"": ""124""}]"
4,"[{""wl"": [""залив"", ""побережье"", ""между"", ""отношение"", ""свойство"", ""полуостров""], ""id"": 3, ""wl_id"": ""125""}]"
2,"[{""wl"": [""масса"", ""физика"", ""частица"", ""школьный"", ""теория"", ""специалист""], ""id"": 3, ""wl_id"": ""126""}]"
1,"[{""wl"": [""год"", ""уэльс"", ""российский"", ""биография"", ""советский"", ""ссср""], ""id"": 3, ""wl_id"": ""127""}]"
1,"[{""wl"": [""делать"", ""крымский"", ""tv"", ""пустыня"", ""натуральный"", ""канал""], ""id"": 3, ""wl_id"": ""128""}]"
5,"[{""wl"": [""для"", ""книг"", ""перевозки"", ""кг"", ""оружия"", ""созданный""], ""id"": 3, ""wl_id"": ""129""}]"
5,"[{""wl"": [""фильм"", ""театр"", ""год"", ""пол"", ""сюжет"", ""и""], ""id"": 3, ""wl_id"": ""130""}]"
5,"[{""wl"": [""премьер-министр"", ""европейских"", ""лидер"", ""партии"", ""стран"", ""искусства""], ""id"": 3, ""wl_id"": ""131""}]"
2,"[{""wl"": [""актёр"", ""сюжет"", ""входит"", ""фильм"", ""американский"", ""года""], ""id"": 3, ""wl_id"": ""132""}]"
3,"[{""wl"": [""год"", ""и"", ""@card@"", ""новосибирский"", ""в"", ""на""], ""id"": 3, ""wl_id"": ""133""}]"
5,"[{""wl"": [""языков"", ""семьи"", ""язык"", ""языка"", ""штата"", ""против""], ""id"": 3, ""wl_id"": ""134""}]"
4,"[{""wl"": [""честь"", ""деятель"", ""открыть"", ""быть"", ""астероид"", ""назвать""], ""id"": 3, ""wl_id"": ""135""}]"
0,"[{""wl"": [""мария"", ""святой"", ""монастырь"", ""православный"", ""церковь"", ""чем""], ""id"": 3, ""wl_id"": ""136""}]"
4,"[{""wl"": [""училище"", ""древнейших"", ""версии"", ""военное"", ""поэта"", ""млн""], ""id"": 3, ""wl_id"": ""137""}]"
1,"[{""wl"": [""сезона"", ""астероид"", ""клубная"", ""чемпионате"", ""большого"", ""выступал""], ""id"": 3, ""wl_id"": ""138""}]"
3,"[{""wl"": [""рамках"", ""была"", ""проведения"", ""день"", ""проект"", ""международный""], ""id"": 3, ""wl_id"": ""139""}]"
2,"[{""wl"": [""характеристика"", ""цикл"", ""лев"", ""водохранилище"", ""живой"", ""харьковский""], ""id"": 3, ""wl_id"": ""140""}]"
5,"[{""wl"": [""можно"", ""посёлка"", ""дерево"", ""граничать"", ""префектура"", ""япония""], ""id"": 3, ""wl_id"": ""141""}]"
1,"[{""wl"": [""долгие"", ""честь"", ""оператора"", ""работать"", ""высшем"", ""ассистентом""], ""id"": 3, ""wl_id"": ""142""}]"
5,"[{""wl"": [""же"", ""там"", ""рим"", ""италия"", ""итальянский"", ""война""], ""id"": 3, ""wl_id"": ""143""}]"
3,"[{""wl"": [""коммуны"", ""коммуна"", ""дизайн"", ""код"", ""площадь"", ""население""], ""id"": 3, ""wl_id"": ""144""}]"
4,"[{""wl"": [""цвет"", ""получать"", ""красный"", ""белый"", ""сезон"", ""получение""], ""id"": 3, ""wl_id"": ""145""}]"
0,"[{""wl"": [""de"", ""лет"", ""народный"", ""уже"", ""возрасте"", ""назад""], ""id"": 3, ""wl_id"": ""146""}]"
5,"[{""wl"": [""месторождение"", ""тысяча"", ""период"", ""империя"", ""миллион"", ""организация""], ""id"": 3, ""wl_id"": ""147""}]"
1,"[{""wl"": [""альбом"", ""the"", ""группы"", ""студийный"", ""широкую"", ""альбома""], ""id"": 3, ""wl_id"": ""148""}]"
5,"[{""wl"": [""его"", ""ii"", ""до"", ""i"", ""н"", ""отдельные""], ""id"": 3, ""wl_id"": ""149""}]"
5,"[{""wl"": [""премий"", ""«за"", ""радио"", ""лауреат"", ""категории"", ""воинов""], ""id"": 3, ""wl_id"": ""150""}]"
3,"[{""wl"": [""австралийский"", ""виктория"", ""эрик"", ""японский"", ""жорж"", ""австралия""], ""id"": 3, ""wl_id"": ""151""}]"
2,"[{""wl"": [""ними"", ""другими"", ""очень"", ""что"", ""чем"", ""тем""], ""id"": 3, ""wl_id"": ""152""}]"
1,"[{""wl"": [""метод"", ""польский"", ""их"", ""исследование"", ""и"", ""комплекс""], ""id"": 3, ""wl_id"": ""153""}]"
5,"[{""wl"": [""писателя"", ""роман"", ""книг"", ""соединение"", ""зависимости"", ""нет""], ""id"": 3, ""wl_id"": ""154""}]"
1,"[{""wl"": [""филадельфия"", ""себя"", ""уолтер"", ""вальтер"", ""эквадор"", ""пенсильвание""], ""id"": 3, ""wl_id"": ""155""}]"
1,"[{""wl"": [""при"", ""организации"", ""или"", ""как"", ""и"", ""обычно""], ""id"": 3, ""wl_id"": ""156""}]"
1,"[{""wl"": [""вступил"", ""основное"", ""донецкой"", ""бразильский"", ""народной"", ""бразилия""], ""id"": 3, ""wl_id"": ""157""}]"
0,"[{""wl"": [""написать"", ""американский"", ""крестьянин"", ""наиболее"", ""сша"", ""известный""], ""id"": 3, ""wl_id"": ""158""}]"
5,"[{""wl"": [""огромный"", ""и"", ""интерес"", ""почва"", ""бедный"", ""эдуард""], ""id"": 3, ""wl_id"": ""159""}]"
1,"[{""wl"": [""режиссёром"", ""вино"", ""который"", ""рейн"", ""школьный"", ""выступить""], ""id"": 3, ""wl_id"": ""160""}]"
5,"[{""wl"": [""частиц"", ""материалы"", ""км²"", ""распространения"", ""землю"", ""древности""], ""id"": 3, ""wl_id"": ""161""}]"
0,"[{""wl"": [""астероид"", ""честь"", ""был"", ""открыт"", ""назван"", ""воинов""], ""id"": 3, ""wl_id"": ""162""}]"
4,"[{""wl"": [""нидерландский"", ""ян"", ""мировой"", ""площади"", ""ван"", ""творчество""], ""id"": 3, ""wl_id"": ""163""}]"
4,"[{""wl"": [""категория"", ""за"", ""лучший"", ""владелец"", ""момент"", ""поле""], ""id"": 3, ""wl_id"": ""164""}]"
4,"[{""wl"": [""от"", ""километр"", ""по"", ""берег"", ""россия"", ""река""], ""id"": 3, ""wl_id"": ""165""}]"
2,"[{""wl"": [""действие"", ""драма"", ""майкл"", ""зависимости"", ""фильме"", ""состоялась""], ""id"": 3, ""wl_id"": ""166""}]"
4,"[{""wl"": [""музыкальный"", ""представлять"", ""под"", ""инструмент"", ""себя"", ""классический""], ""id"": 3, ""wl_id"": ""167""}]"
1,"[{""wl"": [""государственный"", ""конкурс"", ""лицо"", ""орган"", ""дело"", ""министр""], ""id"": 3, ""wl_id"": ""168""}]"
3,"[{""wl"": [""предполагаться"", ""каменный"", ""можно"", ""рейн"", ""орудие"", ""артиллерийский""], ""id"": 3, ""wl_id"": ""169""}]"
5,"[{""wl"": [""поселения"", ""королевство"", ""италии"", ""итальянский"", ""италия"", ""версии""], ""id"": 3, ""wl_id"": ""170""}]"
1,"[{""wl"": [""азербайджан"", ""согласно"", ""крым"", ""село"", ""так"", ""республика""], ""id"": 3, ""wl_id"": ""171""}]"
1,"[{""wl"": [""станция"", ""родиться"", ""линия"", ""на"", ""от"", ""улица""], ""id"": 3, ""wl_id"": ""172""}]"
1,"[{""wl"": [""выделяют"", ""ткани"", ""в"", ""мехико"", ""детей"", ""пола""], ""id"": 3, ""wl_id"": ""173""}]"
5,"[{""wl"": [""альбома"", ""семейства"", ""вид"", ""род"", ""из"", ""описание""], ""id"": 3, ""wl_id"": ""174""}]"
2,"[{""wl"": [""с"", ""компанией"", ""системы"", ""и"", ""мира"", ""для""], ""id"": 3, ""wl_id"": ""175""}]"
4,"[{""wl"": [""комитет"", ""власть"", ""красноярский"", ""подчинение"", ""против"", ""администрация""], ""id"": 3, ""wl_id"": ""176""}]"
1,"[{""wl"": [""на"", ""начинаться"", ""праздник"", ""течение"", ""день"", ""событие""], ""id"": 3, ""wl_id"": ""177""}]"
5,"[{""wl"": [""была"", ""основана"", ""году"", ""рамках"", ""деятельность"", ""компании""], ""id"": 3, ""wl_id"": ""178""}]"
0,"[{""wl"": [""дома"", ""слов"", ""разные"", ""научное"", ""направление"", ""прямой""], ""id"": 3, ""wl_id"": ""179""}]"
3,"[{""wl"": [""станция"", ""общей"", ""взаимодействия"", ""чехословакии"", ""слабо"", ""контроля""], ""id"": 3, ""wl_id"": ""180""}]"
4,"[{""wl"": [""вв"", ""о"", ""годы"", ""развитие"", ""востока"", ""исследования""], ""id"": 3, ""wl_id"": ""181""}]"
3,"[{""wl"": [""составе"", ""технологий"", ""использование"", ""газеты"", ""федерального"", ""исследований""], ""id"": 3, ""wl_id"": ""182""}]"
4,"[{""wl"": [""входит"", ""в"", ""официальный"", ""поселения"", ""года)"", ""земле""], ""id"": 3, ""wl_id"": ""183""}]"
4,"[{""wl"": [""еврейский"", ""мадрид"", ""венгерский"", ""германский"", ""семья"", ""израиль""], ""id"": 3, ""wl_id"": ""184""}]"
5,"[{""wl"": [""века"", ""xx"", ""участка"", ""2-го"", ""начале"", ""советской""], ""id"": 3, ""wl_id"": ""185""}]"
5,"[{""wl"": [""или"", ""есть"", ""это"", ""то"", ""не"", ""контроля""], ""id"": 3, ""wl_id"": ""186""}]"
3,"[{""wl"": [""она"", ""мифологии"", ""персонаж"", ""научное"", ""дочь"", ""жена""], ""id"": 3, ""wl_id"": ""187""}]"
0,"[{""wl"": [""волость"", ""движение"", ""деятель"", ""должность"", ""общественный"", ""партия""], ""id"": 3, ""wl_id"": ""188""}]"
4,"[{""wl"": [""то"", ""который"", ""или"", ""как"", ""не"", ""и""], ""id"": 3, ""wl_id"": ""189""}]"
1,"[{""wl"": [""использоваться"", ""так"", ""или"", ""и"", ""производство"", ""для""], ""id"": 3, ""wl_id"": ""190""}]"
