var_arrays
"[{""wl"": [""музей"", ""поля"", ""историю"", ""музея"", ""истории"", ""музее""], ""id"": 1, ""wl_id"": ""0""}]"
"[{""wl"": [""является"", ""клеток"", ""человека"", ""клетки"", ""сети"", ""являются""], ""id"": 1, ""wl_id"": ""41""}]"
"[{""wl"": [""для"", ""или"", ""и"", ""при"", ""с"", ""станция""], ""id"": 1, ""wl_id"": ""42""}]"
"[{""wl"": [""образования"", ""г"", ""школа"", ""для"", ""школы"", ""обучения""], ""id"": 1, ""wl_id"": ""43""}]"
"[{""wl"": [""воздух"", ""поверхность"", ""камера"", ""австралийский"", ""газ"", ""давление""], ""id"": 1, ""wl_id"": ""44""}]"
"[{""wl"": [""был"", ""года"", ""были"", ""была"", ""граф"", ""было""], ""id"": 1, ""wl_id"": ""45""}]"
"[{""wl"": [""польше"", ""волость"", ""нижегородской"", ""нем"", ""единица"", ""воеводство""], ""id"": 1, ""wl_id"": ""46""}]"
"[{""wl"": [""его"", ""был"", ""ii"", ""i"", ""церкви"", ""его""], ""id"": 1, ""wl_id"": ""47""}]"
"[{""wl"": [""штат"", ""матч"", ""в"", ""за"", ""клуб"", ""год""], ""id"": 1, ""wl_id"": ""48""}]"
"[{""wl"": [""полк"", ""война"", ""в"", ""армия"", ""год"", ""новый""], ""id"": 1, ""wl_id"": ""49""}]"
"[{""wl"": [""джеймс"", ""братья"", ""братьев"", ""international"", ""британского"", ""на""], ""id"": 1, ""wl_id"": ""50""}]"
"[{""wl"": [""или"", ""использоваться"", ""музыка"", ""из"", ""для"", ""и""], ""id"": 1, ""wl_id"": ""51""}]"
"[{""wl"": [""острове"", ""китая"", ""испании"", ""японии"", ""японской"", ""китае""], ""id"": 1, ""wl_id"": ""52""}]"
"[{""wl"": [""б"", ""д"", ""л"", ""р"", ""х"", ""лет""], ""id"": 1, ""wl_id"": ""53""}]"
"[{""wl"": [""одежда"", ""подземный"", ""да"", ""шахта"", ""глубина"", ""вода""], ""id"": 1, ""wl_id"": ""54""}]"
"[{""wl"": [""ракета"", ""лодка"", ""крымский"", ""вооружение"", ""быть"", ""боевой""], ""id"": 1, ""wl_id"": ""55""}]"
"[{""wl"": [""метод"", ""мочь"", ""изучение"", ""научный"", ""наука"", ""теория""], ""id"": 1, ""wl_id"": ""56""}]"
"[{""wl"": [""река"", ""километр"", ""водный"", ""планета"", ""данные"", ""по""], ""id"": 1, ""wl_id"": ""57""}]"
"[{""wl"": [""проспект"", ""улица"", ""транспорт"", ""москва"", ""проезд"", ""животное""], ""id"": 1, ""wl_id"": ""58""}]"
"[{""wl"": [""см"", ""или"", ""титула"", ""до"", ""у"", ""вид""], ""id"": 1, ""wl_id"": ""59""}]"
"[{""wl"": [""рука"", ""бой"", ""оружие"", ""они"", ""сила"", ""школа""], ""id"": 1, ""wl_id"": ""60""}]"
"[{""wl"": [""поля"", ""света"", ""энергии"", ""скорость"", ""поле"", ""населения""], ""id"": 1, ""wl_id"": ""61""}]"
"[{""wl"": [""построить"", ""век"", ""быть"", ""здание"", ""город"", ""найти""], ""id"": 1, ""wl_id"": ""62""}]"
"[{""wl"": [""год"", ""в"", ""на"", ""правительство"", ""и"", ""с""], ""id"": 1, ""wl_id"": ""63""}]"
"[{""wl"": [""художник"", ""он"", ""де"", ""его"", ""язык"", ""французский""], ""id"": 1, ""wl_id"": ""64""}]"
"[{""wl"": [""на"", ""от"", ""метр"", ""расположить"", ""мельница"", ""километр""], ""id"": 1, ""wl_id"": ""65""}]"
"[{""wl"": [""волна"", ""поэт"", ""марк"", ""произведение"", ""писатель"", ""литература""], ""id"": 1, ""wl_id"": ""66""}]"
"[{""wl"": [""составляет"", ""районе"", ""площадь"", ""входит"", ""человек"", ""население""], ""id"": 1, ""wl_id"": ""67""}]"
"[{""wl"": [""почтовый"", ""святой"", ""день"", ""италия"", ""считаться"", ""из""], ""id"": 1, ""wl_id"": ""68""}]"
"[{""wl"": [""акт"", ""@card@"", ""юридический"", ""лицо"", ""общество"", ""право""], ""id"": 1, ""wl_id"": ""69""}]"
"[{""wl"": [""тома"", ""нижнего"", ""нижегородской"", ""филипп"", ""была"", ""нижний""], ""id"": 1, ""wl_id"": ""70""}]"
"[{""wl"": [""слова"", ""или"", ""для"", ""как"", ""для"", ""название""], ""id"": 1, ""wl_id"": ""71""}]"
"[{""wl"": [""как"", ""чтения"", ""человека"", ""общества"", ""о"", ""жизни""], ""id"": 1, ""wl_id"": ""72""}]"
"[{""wl"": [""ок"", ""против"", ""v"", ""x"", ""граф"", ""ум""], ""id"": 1, ""wl_id"": ""73""}]"
"[{""wl"": [""лечения"", ""крови"", ""не"", ""тела"", ""лечение"", ""у""], ""id"": 1, ""wl_id"": ""74""}]"
"[{""wl"": [""станции"", ""при"", ""с"", ""или"", ""для"", ""и""], ""id"": 1, ""wl_id"": ""75""}]"
"[{""wl"": [""али"", ""турции"", ""оружие"", ""бой"", ""оружия"", ""войны""], ""id"": 1, ""wl_id"": ""76""}]"
"[{""wl"": [""и"", ""для"", ""у"", ""род"", ""семейство"", ""вид""], ""id"": 1, ""wl_id"": ""77""}]"
"[{""wl"": [""лет"", ""альберт"", ""средний"", ""переписи"", ""на"", ""населения""], ""id"": 1, ""wl_id"": ""78""}]"
"[{""wl"": [""не"", ""и"", ""немецких"", ""что"", ""он"", ""его""], ""id"": 1, ""wl_id"": ""79""}]"
"[{""wl"": [""д"", ""области"", ""наук"", ""исследований"", ""научных"", ""исследования""], ""id"": 1, ""wl_id"": ""80""}]"
"[{""wl"": [""вячеслав"", ""король"", ""он"", ""@card@"", ""свой"", ""быть""], ""id"": 1, ""wl_id"": ""81""}]"
"[{""wl"": [""год"", ""группа"", ""альбом"", ""зеландия"", ""песня"", ""the""], ""id"": 1, ""wl_id"": ""82""}]"
"[{""wl"": [""азия"", ""индонезия"", ""юго-восточной"", ""храм"", ""тон"", ""китай""], ""id"": 1, ""wl_id"": ""83""}]"
"[{""wl"": [""ввс"", ""польша"", ""экипаж"", ""крыло"", ""воздушный"", ""совершить""], ""id"": 1, ""wl_id"": ""84""}]"
"[{""wl"": [""мир"", ""в"", ""село"", ""на"", ""чемпионат"", ""год""], ""id"": 1, ""wl_id"": ""85""}]"
"[{""wl"": [""суд"", ""дело"", ""по"", ""решение"", ""о"", ""год""], ""id"": 1, ""wl_id"": ""86""}]"
"[{""wl"": [""венгрии"", ""российской"", ""день"", ""региона"", ""государства"", ""империи""], ""id"": 1, ""wl_id"": ""87""}]"
"[{""wl"": [""английский"", ""англия"", ""великобритания"", ""джон"", ""британский"", ""эра""], ""id"": 1, ""wl_id"": ""88""}]"
"[{""wl"": [""программы"", ""день"", ""на"", ""проекта"", ""доктора"", ""часов""], ""id"": 1, ""wl_id"": ""89""}]"
"[{""wl"": [""и"", ""быть"", ""в"", ""он"", ""для"", ""не""], ""id"": 1, ""wl_id"": ""90""}]"
"[{""wl"": [""фон"", ""италии"", ""де"", ""de"", ""франции"", ""улицы""], ""id"": 1, ""wl_id"": ""91""}]"
"[{""wl"": [""назван"", ""г"", ""года"", ""с"", ""по"", ""член""], ""id"": 1, ""wl_id"": ""92""}]"
"[{""wl"": [""гдр"", ""мочь"", ""управление"", ""объединение"", ""фрг"", ""адмирал""], ""id"": 1, ""wl_id"": ""93""}]"
"[{""wl"": [""программа"", ""право"", ""год"", ""премия"", ""канал"", ""конкурс""], ""id"": 1, ""wl_id"": ""94""}]"
"[{""wl"": [""река"", ""км"", ""россии"", ""реки"", ""по"", ""назвать""], ""id"": 1, ""wl_id"": ""95""}]"
"[{""wl"": [""ли"", ""титул"", ""его"", ""китайский"", ""трон"", ""титула""], ""id"": 1, ""wl_id"": ""96""}]"
"[{""wl"": [""род"", ""губерния"", ""иван"", ""население"", ""князь"", ""@card@""], ""id"": 1, ""wl_id"": ""97""}]"
"[{""wl"": [""растение"", ""для"", ""и"", ""япония"", ""или"", ""дерево""], ""id"": 1, ""wl_id"": ""98""}]"
"[{""wl"": [""президента"", ""игра"", ""для"", ""игр"", ""версии"", ""игры""], ""id"": 1, ""wl_id"": ""99""}]"
"[{""wl"": [""выборов"", ""средства"", ""общины"", ""результатам"", ""входит"", ""в""], ""id"": 1, ""wl_id"": ""100""}]"
"[{""wl"": [""университета"", ""университет"", ""университете"", ""степень"", ""года"", ""швеции""], ""id"": 1, ""wl_id"": ""101""}]"
"[{""wl"": [""год"", ""монастырь"", ""церковь"", ""святой"", ""символ"", ""храм""], ""id"": 1, ""wl_id"": ""102""}]"
"[{""wl"": [""занимать"", ""площадь"", ""коммуна"", ""человек"", ""земля"", ""@card@""], ""id"": 1, ""wl_id"": ""103""}]"
"[{""wl"": [""актёр"", ""фильм"", ""обмена"", ""фильма"", ""кино"", ""фильмов""], ""id"": 1, ""wl_id"": ""104""}]"
"[{""wl"": [""версия"", ""библиотеки"", ""перевод"", ""текста"", ""белых"", ""текст""], ""id"": 1, ""wl_id"": ""105""}]"
"[{""wl"": [""движения"", ""войны"", ""во"", ""был"", ""то"", ""после""], ""id"": 1, ""wl_id"": ""106""}]"
"[{""wl"": [""честь"", ""назван"", ""земли"", ""был"", ""ли"", ""лет""], ""id"": 1, ""wl_id"": ""107""}]"
"[{""wl"": [""был"", ""войны"", ""в"", ""года"", ""армии"", ""г""], ""id"": 1, ""wl_id"": ""108""}]"
"[{""wl"": [""период"", ""пермский"", ""и"", ""п"", ""б"", ""д""], ""id"": 1, ""wl_id"": ""109""}]"
"[{""wl"": [""изображение"", ""на"", ""при"", ""чемпионат"", ""для"", ""с""], ""id"": 1, ""wl_id"": ""110""}]"
"[{""wl"": [""группы"", ""альбома"", ""группа"", ""с"", ""the"", ""альбом""], ""id"": 1, ""wl_id"": ""111""}]"
"[{""wl"": [""ван"", ""чили"", ""одноимённой"", ""джордж"", ""ян"", ""испании""], ""id"": 1, ""wl_id"": ""112""}]"
"[{""wl"": [""черный"", ""чёрного"", ""цвет"", ""вино"", ""красный"", ""изучение""], ""id"": 1, ""wl_id"": ""113""}]"
"[{""wl"": [""организация"", ""для"", ""корея"", ""и"", ""деятельность"", ""развитие""], ""id"": 1, ""wl_id"": ""114""}]"
"[{""wl"": [""год"", ""гибель"", ""аэропорт"", ""рынок"", ""компания"", ""миллион""], ""id"": 1, ""wl_id"": ""115""}]"
"[{""wl"": [""персонаж"", ""игровой"", ""серия"", ""язык"", ""игра"", ""игрок""], ""id"": 1, ""wl_id"": ""116""}]"
"[{""wl"": [""порт"", ""род"", ""флот"", ""корабль"", ""судно"", ""морской""], ""id"": 1, ""wl_id"": ""117""}]"
"[{""wl"": [""произведение"", ""для"", ""с"", ""на"", ""система"", ""и""], ""id"": 1, ""wl_id"": ""118""}]"
"[{""wl"": [""республика"", ""казахский"", ""область"", ""и"", ""сср"", ""казахстан""], ""id"": 1, ""wl_id"": ""119""}]"
"[{""wl"": [""мира"", ""организации"", ""учение"", ""медицины"", ""стран"", ""индии""], ""id"": 1, ""wl_id"": ""120""}]"
"[{""wl"": [""донецкой"", ""владимира"", ""виктор"", ""виктора"", ""игорь"", ""воеводство""], ""id"": 1, ""wl_id"": ""121""}]"
"[{""wl"": [""дни"", ""мартин"", ""чтения"", ""домашней"", ""для"", ""альберт""], ""id"": 1, ""wl_id"": ""122""}]"
"[{""wl"": [""местный"", ""общество"", ""украина"", ""украинский"", ""киев"", ""киевский""], ""id"": 1, ""wl_id"": ""123""}]"
"[{""wl"": [""нидерланды"", ""шахта"", ""мужской"", ""ван"", ""одежда"", ""женский""], ""id"": 1, ""wl_id"": ""124""}]"
"[{""wl"": [""документ"", ""сайт"", ""текст"", ""одежда"", ""информация"", ""файл""], ""id"": 1, ""wl_id"": ""125""}]"
"[{""wl"": [""и"", ""движения"", ""как"", ""что"", ""не"", ""к""], ""id"": 1, ""wl_id"": ""126""}]"
"[{""wl"": [""кость"", ""назад"", ""миллион"", ""шахта"", ""зуб"", ""животное""], ""id"": 1, ""wl_id"": ""127""}]"
"[{""wl"": [""россия"", ""русский"", ""метод"", ""сибирь"", ""российский"", ""край""], ""id"": 1, ""wl_id"": ""128""}]"
"[{""wl"": [""иванов"", ""алексей"", ""молдавский"", ""женский"", ""вячеслав"", ""георгий""], ""id"": 1, ""wl_id"": ""129""}]"
"[{""wl"": [""ирландия"", ""мануэль"", ""штат"", ""ирландский"", ""хосе"", ""шон""], ""id"": 1, ""wl_id"": ""130""}]"
"[{""wl"": [""поселения"", ""сельского"", ""к"", ""области"", ""село"", ""районе""], ""id"": 1, ""wl_id"": ""131""}]"
"[{""wl"": [""сша"", ""штат"", ""еврейский"", ""американский"", ""канада"", ""университет""], ""id"": 1, ""wl_id"": ""132""}]"
"[{""wl"": [""география"", ""село"", ""сесть"", ""район"", ""монастырь"", ""берег""], ""id"": 1, ""wl_id"": ""133""}]"
"[{""wl"": [""предприятие"", ""производство"", ""строительство"", ""составлять"", ""завод"", ""промышленность""], ""id"": 1, ""wl_id"": ""134""}]"
"[{""wl"": [""уральский"", ""верхний"", ""нижегородский"", ""пруд"", ""нижний"", ""у""], ""id"": 1, ""wl_id"": ""135""}]"
"[{""wl"": [""по"", ""в"", ""согласно"", ""с"", ""и"", ""на""], ""id"": 1, ""wl_id"": ""136""}]"
"[{""wl"": [""шведский"", ""финляндия"", ""норвегия"", ""финский"", ""швеция"", ""издание""], ""id"": 1, ""wl_id"": ""137""}]"
"[{""wl"": [""австралия"", ""австралийский"", ""v"", ""шотландия"", ""новый"", ""зеландия""], ""id"": 1, ""wl_id"": ""138""}]"
"[{""wl"": [""спутник"", ""эдуард"", ""гибель"", ""произойти"", ""погибнуть"", ""жертва""], ""id"": 1, ""wl_id"": ""139""}]"
"[{""wl"": [""железных"", ""книг"", ""о"", ""автор"", ""книга"", ""книги""], ""id"": 1, ""wl_id"": ""140""}]"
"[{""wl"": [""информации"", ""газеты"", ""журнал"", ""records"", ""джон"", ""журнала""], ""id"": 1, ""wl_id"": ""141""}]"
"[{""wl"": [""сайт"", ""клуб"", ""команда"", ""спортивный"", ""стадион"", ""футбольный""], ""id"": 1, ""wl_id"": ""142""}]"
"[{""wl"": [""компоненты"", ""третьего"", ""второго"", ""второе"", ""поколения"", ""белых""], ""id"": 1, ""wl_id"": ""143""}]"
"[{""wl"": [""против"", ""президента"", ""пост"", ""страны"", ""партии"", ""статусом""], ""id"": 1, ""wl_id"": ""144""}]"
"[{""wl"": [""канаде"", ""канады"", ""de"", ""канада"", ""провинции"", ""провинция""], ""id"": 1, ""wl_id"": ""145""}]"
"[{""wl"": [""жителей"", ""селе"", ""детей"", ""улицы"", ""улица"", ""от""], ""id"": 1, ""wl_id"": ""146""}]"
"[{""wl"": [""роману"", ""наук"", ""настоящая"", ""определённого"", ""отверстие"", ""владимиром""], ""id"": 1, ""wl_id"": ""147""}]"
"[{""wl"": [""был"", ""дорог"", ""его"", ""в"", ""году"", ""он""], ""id"": 1, ""wl_id"": ""148""}]"
"[{""wl"": [""сельский"", ""деревня"", ""год"", ""район"", ""состав"", ""поселение""], ""id"": 1, ""wl_id"": ""149""}]"
"[{""wl"": [""of"", ""i"", ""@card@"", ""a"", ""in"", ""and""], ""id"": 1, ""wl_id"": ""150""}]"
"[{""wl"": [""население"", ""году"", ""человек"", ""он"", ""были"", ""коммуны""], ""id"": 1, ""wl_id"": ""151""}]"
"[{""wl"": [""издание"", ""роман"", ""газета"", ""журнал"", ""книга"", ""индонезия""], ""id"": 1, ""wl_id"": ""152""}]"
"[{""wl"": [""при"", ""что"", ""может"", ""если"", ""был"", ""то""], ""id"": 1, ""wl_id"": ""153""}]"
"[{""wl"": [""нем"", ""организации"", ""детей"", ""организация"", ""средства"", ""фонда""], ""id"": 1, ""wl_id"": ""154""}]"
"[{""wl"": [""от"", ""о"", ""части"", ""м"", ""км"", ""на""], ""id"": 1, ""wl_id"": ""155""}]"
"[{""wl"": [""э"", ""в"", ""за"", ""он"", ""году"", ""года""], ""id"": 1, ""wl_id"": ""156""}]"
"[{""wl"": [""для"", ""физической"", ""живых"", ""обмена"", ""химии"", ""биологии""], ""id"": 1, ""wl_id"": ""157""}]"
"[{""wl"": [""англии"", ""английский"", ""великобритании"", ""состав"", ""ирландии"", ""джон""], ""id"": 1, ""wl_id"": ""158""}]"
"[{""wl"": [""искусств"", ""художник"", ""искусства"", ""художника"", ""работы"", ""игры""], ""id"": 1, ""wl_id"": ""159""}]"
"[{""wl"": [""для"", ""при"", ""строительства"", ""завода"", ""строительство"", ""завод""], ""id"": 1, ""wl_id"": ""160""}]"
"[{""wl"": [""v"", ""iii"", ""iv"", ""население"", ""королева"", ""x""], ""id"": 1, ""wl_id"": ""161""}]"
"[{""wl"": [""флаг"", ""знак"", ""предприятие"", ""символ"", ""латинский"", ""стиль""], ""id"": 1, ""wl_id"": ""162""}]"
"[{""wl"": [""члена"", ""андре"", ""красные"", ""французским"", ""членом"", ""году""], ""id"": 1, ""wl_id"": ""163""}]"
"[{""wl"": [""отделить"", ""штат"", ""хор"", ""кресло"", ""путать"", ""сицилия""], ""id"": 1, ""wl_id"": ""164""}]"
"[{""wl"": [""т"", ""стихи"", ""м"", ""п"", ""поэт"", ""член""], ""id"": 1, ""wl_id"": ""165""}]"
"[{""wl"": [""года"", ""области"", ""деревня"", ""дорог"", ""центра"", ""км""], ""id"": 1, ""wl_id"": ""166""}]"
"[{""wl"": [""индийский"", ""южный"", ""индия"", ""столица"", ""страна"", ""китай""], ""id"": 1, ""wl_id"": ""167""}]"
"[{""wl"": [""она"", ""была"", ""году"", ""её"", ""региона"", ""года""], ""id"": 1, ""wl_id"": ""168""}]"
"[{""wl"": [""германия"", ""берлине"", ""гдр"", ""немецких"", ""и"", ""марк""], ""id"": 1, ""wl_id"": ""169""}]"
"[{""wl"": [""депо"", ""штаб"", ""выполнена"", ""de"", ""компоненты"", ""томаса""], ""id"": 1, ""wl_id"": ""170""}]"
"[{""wl"": [""земля"", ""хозяйство"", ""сельскохозяйственный"", ""греция"", ""сельский"", ""г""], ""id"": 1, ""wl_id"": ""171""}]"
"[{""wl"": [""египет"", ""арабский"", ""израиль"", ""грузия"", ""тон"", ""армянский""], ""id"": 1, ""wl_id"": ""172""}]"
"[{""wl"": [""производство"", ""производства"", ""промышленности"", ""газа"", ""настоящая"", ""тонн""], ""id"": 1, ""wl_id"": ""173""}]"
"[{""wl"": [""крымский"", ""крым"", ""гдр"", ""согласно"", ""башкортостан"", ""турецкий""], ""id"": 1, ""wl_id"": ""174""}]"
"[{""wl"": [""кислота"", ""при"", ""год"", ""вещество"", ""свойство"", ""соединение""], ""id"": 1, ""wl_id"": ""175""}]"
"[{""wl"": [""адам"", ""зуб"", ""робот"", ""борьба"", ""борец"", ""вес""], ""id"": 1, ""wl_id"": ""176""}]"
"[{""wl"": [""наш"", ""эра"", ""вид"", ""найти"", ""культура"", ""обнаружить""], ""id"": 1, ""wl_id"": ""177""}]"
"[{""wl"": [""для"", ""и"", ""ван"", ""с"", ""на"", ""при""], ""id"": 1, ""wl_id"": ""178""}]"
"[{""wl"": [""за"", ""награды"", ""лауреат"", ""the"", ""премию"", ""премии""], ""id"": 1, ""wl_id"": ""179""}]"
"[{""wl"": [""москва"", ""гонка"", ""этап"", ""трасса"", ""на"", ""автомобиль""], ""id"": 1, ""wl_id"": ""180""}]"
"[{""wl"": [""породы"", ""животных"", ""белый"", ""пород"", ""среды"", ""псковской""], ""id"": 1, ""wl_id"": ""181""}]"
"[{""wl"": [""взрослых"", ""путей"", ""дорог"", ""сети"", ""штат"", ""железных""], ""id"": 1, ""wl_id"": ""182""}]"
"[{""wl"": [""украины"", ""марк"", ""театра"", ""россии"", ""александр"", ""театре""], ""id"": 1, ""wl_id"": ""183""}]"
"[{""wl"": [""б"", ""губернии"", ""уезда"", ""года"", ""после"", ""согласно""], ""id"": 1, ""wl_id"": ""184""}]"
"[{""wl"": [""страна"", ""государство"", ""отношение"", ""правительство"", ""экономический"", ""рынок""], ""id"": 1, ""wl_id"": ""185""}]"
"[{""wl"": [""году"", ""компании"", ""млн"", ""компания"", ""является"", ""жителей""], ""id"": 1, ""wl_id"": ""186""}]"
"[{""wl"": [""предложения"", ""производство"", ""голос"", ""речь"", ""речи"", ""назвать""], ""id"": 1, ""wl_id"": ""187""}]"
"[{""wl"": [""лев"", ""денежный"", ""египет"", ""монета"", ""рубль"", ""африка""], ""id"": 1, ""wl_id"": ""188""}]"
"[{""wl"": [""буква"", ""диалект"", ""слово"", ""группа"", ""персонаж"", ""язык""], ""id"": 1, ""wl_id"": ""189""}]"
"[{""wl"": [""блок"", ""операция"", ""англия"", ""номер"", ""ключ"", ""передача""], ""id"": 1, ""wl_id"": ""190""}]"
"[{""wl"": [""япония"", ""швеция"", ""японский"", ""корея"", ""остров"", ""префектура""], ""id"": 1, ""wl_id"": ""191""}]"
"[{""wl"": [""сша"", ""нью-йорк"", ""штат"", ""штата"", ""станция"", ""американской""], ""id"": 1, ""wl_id"": ""192""}]"
"[{""wl"": [""города"", ""моря"", ""стран"", ""расположен"", ""метров"", ""над""], ""id"": 1, ""wl_id"": ""193""}]"
"[{""wl"": [""согласно"", ""одноимённого"", ""красные"", ""город"", ""сирии"", ""населения""], ""id"": 1, ""wl_id"": ""194""}]"
"[{""wl"": [""э"", ""году"", ""были"", ""был"", ""века"", ""была""], ""id"": 1, ""wl_id"": ""195""}]"
"[{""wl"": [""князя"", ""г"", ""был"", ""и"", ""рода"", ""род""], ""id"": 1, ""wl_id"": ""196""}]"
"[{""wl"": [""км"", ""расположено"", ""дмитрий"", ""на"", ""берегу"", ""по""], ""id"": 1, ""wl_id"": ""197""}]"
"[{""wl"": [""он"", ""и"", ""были"", ""войны"", ""под"", ""к""], ""id"": 1, ""wl_id"": ""198""}]"
"[{""wl"": [""как"", ""век"", ""этот"", ""ирландия"", ""из"", ""и""], ""id"": 1, ""wl_id"": ""199""}]"
